Relations in multi-parent edus
                                         
                           2    3  4
Correction              1440   32  7
Result                  5116  105  1
Narration               4173  103  1
QAP                      724   69  3
Acknowledgement          463    7  0
Elaboration               96   12  2
Contrast                  98   11  1
Continuation             102   12  0
Conditional               12    4  1
Conf-Q                    15    0  0
Comment                   20    2  0
Alternation               11    0  0
Q-Elab                     6    0  0
Clarification_question     6    0  0
Explanation                2    0  0
                                         
